input,normalized,gt_label
ca you change to previous channel,cat you change to previous channel,previous channel
acn you change to previous channel,an you change to previous channel,previous channel
can you change to previous channel,can you change to previous channel,previous channel
where is my raincoat,where is my raincoat,raincoat
where is my raincoa,where is my raincoat,raincoat
where is my raincoat,where is my raincoat,raincoat
where ismy raincoat,where ismy raincoat,raincoat
can you read this for me,can you read this for me,read
acn you read this for me,an you read this for me,read
can yo read this for me,can you read this for me,read
ca you read this for me,cat you read this for me,read
i want to request you,i want to request you,requests
i want to request yuo,i want to request yuo,requests
i want to request oyu,i want to request oyu,requests
i want to reques you,i want to request you,requests
i want to wear salwar kameez,i want to wear salwar kameez,salwar kameez
iwant to wear salwar kameez,want to wear salwar kameez,salwar kameez
i want to wear salwarkameez,i want to wear salwar kameez,salwar kameez
i want to wr salwar kameez,i want to wr salwar kameez,salwar kameez
i need sanitary napkins,i need sanitary napkins,sanitary napkins
i need saniatry napkins,i need sanitary napkins,sanitary napkins
 need sanitary napkins,need sanitary napkins,sanitary napkins
i need sanitary napkin,i need sanitary napkins,sanitary napkins
can you seal it,can you seal it,seal
can yo seal it,can you seal it,seal
can you sl it,can you sl it,seal
canyou seal it,canyou seal it,seal
take me to bathroom,take me to bathroom,bathroom
take me to bathorom,take me to bathroom,bathroom
take me tobathroom,take me bathroom,bathroom
take me to bedroom,take me to bedroom,bedroom
take me to bedroo,take me to bedroom,bedroom
takeme to bedroom,take to bedroom,bedroom
take me to bdrm,take me to bdrm,bedroom
there is my frock,there is my frock,frock
there is my frock,there is my frock,frock
there is m frock,there is m frock,frock
there s my frock,there s my frock,frock
help me with my shirt,help me with my shirt,shirt
help me wtih my shirt,help me with my shirt,shirt
help m with my shirt,help m with my shirt,shirt
help me wiht my shirt,help me with my shirt,shirt
help me with my shoes,help me with my shoes,shoes
help me wth my shoes,help me with my shoes,shoes
help me with myshoes,help me with shoes,shoes
hel me with my shoes,hepl me with my shoes,shoes
i want to wear shorts,i want to wear shorts,shorts
i wnt to wear shorts,i want to wear shorts,shorts
i want t wear shorts,i want t wear shorts,shorts
i want to wear shrots,i want to wear shorts,shorts
i want to wear socks,i want to wear socks,socks
i wantto wear socks,i want wear socks,socks
i want to wr socks,i want to wr socks,socks
i want to wear socks,i want to wear socks,socks
make me sit in sofa,make me sit in sofa,sofa
make me sit in sf,make me sit in sf,sofa
makeme sit in sofa,make sit in sofa,sofa
make me sit in sofa,make me sit in sofa,sofa
where is my spectacles,where is my spectacles,spectacles
where is my spectacle,where is my spectacles,spectacles
where ismy spectacles,where ismy spectacles,spectacles
whereis my spectacles,where my spectacles,spectacles
give me apple juice,give me apple juice,apple juice
give me apple juiec,give me apple juice,apple juice
give me appel juice,give me apple juice,apple juice
gv me apple juice,gve me apple juice,apple juice
make me banana milkshake,make me banana milkshake,banana milkshake
make me banana milkshake,make me banana milkshake,banana milkshake
make me bnn milkshake,make me bnn milkshake,banana milkshake
i want chikoo milkshake,i want chikoo milkshake,chikoo milkshake
i want chioko milkshake,i want chikoo milkshake,chikoo milkshake
i want chikoomilkshake,i want chikoo milkshake,chikoo milkshake
i like chocolate milkshake,i like chocolate milkshake,chocolate milkshake
i lk chocolate milkshake,i lk chocolate milkshake,chocolate milkshake
i like chocolat milkshake,i like chocolate milkshake,chocolate milkshake
i like chocolate milkshake,i like chocolate milkshake,chocolate milkshake
i want some lemon juice,i want some lemon juice,lemon juice
i want some lemon ujice,i want some lemon juice,lemon juice
i want some lmn juice,i want some lemon juice,lemon juice
i want mango juice,i want mango juice,mango juice
i want mango juic,i want mango juice,mango juice
i want mango juice,i want mango juice,mango juice
i wantmango juice,i wantmango juice,mango juice
i want mango milkshake,i want mango milkshake,mango milkshake
i want manog milkshake,i want mango milkshake,mango milkshake
i want mango mlkshk,i want mango milkshake,mango milkshake
i want mango mlikshake,i want mango milkshake,mango milkshake
i want orange juice,i want orange juice,orange juice
i want orange juic,i want orange juice,orange juice
i wantorange juice,i orange juice,orange juice
i want rng juice,i want bring juice,orange juice
i want pineapple juice,i want pineapple juice,pineapple juice
i want pineapple juice,i want pineapple juice,pineapple juice
i want pnppl juice,i want pnppl juice,pineapple juice
i want pineapple juiec,i want pineapple juice,pineapple juice
it is 10 rupees,it is 10 rupees,inr 10
it is 10 rupees,it is 10 rupees,inr 10
it s 10 rupees,it s 10 rupees,inr 10
it is 10rupees,it is rupees,inr 10
it is 100 rupees,it is 100 rupees,inr 100
itis 100 rupees,its 100 rupees,inr 100
i is 100 rupees,i is 100 rupees,inr 100
it is 20 rupees,it is 20 rupees,inr 20
it is20 rupees,it is20 rupees,inr 20
it is 20 rupee,it is 20 rupees,inr 20
it is 200 rupees,it is 200 rupees,inr 200
it is 200 rupee,it is 200 rupees,inr 200
it s 200 rupees,it s 200 rupees,inr 200
it i 200 rupees,it i 200 rupees,inr 200
it is 2000 rupees,it is 2000 rupees,inr 2000
it is 2000 rupees,it is 2000 rupees,inr 2000
it i 2000 rupees,it i 2000 rupees,inr 2000
it s 2000 rupees,it s 2000 rupees,inr 2000
it is 50 rupees,it is 50 rupees,inr 50
it is 50 rupees,it is 50 rupees,inr 50
it is 50 rupee,it is 50 rupees,inr 50
t is 50 rupees,t is 50 rupees,inr 50
it is 500 rupees,it is 500 rupees,inr 500
it is 050 rupees,it is 50 rupees,inr 500
it is 500 rupee,it is 500 rupees,inr 500
it is 500rupees,it is rupees,inr 500
no biting please,no biting please,no biting please
no bitingplease,no no biting please,no biting please
nobiting please,biting please,no biting please
no btng please,no biting please,no biting please
no hands in underpants,no hands in underpants,no hands in underpants
no hnads in underpants,no hands in underpants,no hands in underpants
no hands in underpant,no hands in underpants,no hands in underpants
nohands in underpants,hands in underpants,no hands in underpants
no hitting please,no hitting please,no hitting please
no htiting please,no hitting please,no hitting please
no hitting please,no hitting please,no hitting please
no hitting plesae,no hitting please,no hitting please
no inappropriate touch please,no inappropriate touch please,no inappropriate touch please
no inappropriate touch pleas,no inappropriate touch please,no inappropriate touch please
no inappropriatetouch please,no inappropriate please,no inappropriate touch please
no kicking please,no kicking please,no kicking please
no kicking pleas,no kicking please,no kicking please
no kckng please,no kicking please,no kicking please
no kicking pleaes,no kicking please,no kicking please
no picking nose please,no picking nose please,no picking nose please
no pickin nose please,no picking nose please,no picking nose please
no picking nose pleas,no picking nose please,no picking nose please
no picking onse please,no picking zone please,no picking nose please
no pinching please,no pinching please,no pinching please
no pinchin please,no pinching please,no pinching please
n pinching please,n pinching please,no pinching please
no pushing please,no pushing please,no pushing please
no pshng please,no pushing please,no pushing please
no pushing pleaes,no pushing please,no pushing please
n pushing please,n pushing please,no pushing please
no spitting please,no spitting please,no spitting please
no spttng please,no spitting please,no spitting please
no spittign please,no spitting please,no spitting please
nospitting please,spitting please,no spitting please
no talking while eating please!,no talking while eating please!,no talking while eating please!
n talking while eating please!,n talking while eating please!,no talking while eating please!
no talking whil eating please!,no talking while eating please!,no talking while eating please!
no takling while eating please!,no talking while eating please!,no talking while eating please!
stranger,stranger,stranger
strange,stranger,stranger
strangre,stranger,stranger
strngr,stranger,stranger
strangers- beware!,strangers- beware!,strangers- beware!
strangers- beware,strangers- beware!,strangers- beware!
strangers beware!,strangers- beware!,strangers- beware!
strangers-beware!,strangers- beware!,strangers- beware!
switch on the air conditioner,switch on the air conditioner,air conditioner
switc on the air conditioner,switch on the air conditioner,air conditioner
siwtch on the air conditioner,switch on the air conditioner,air conditioner
switch on the air cndtnr,switch on the air cndtnr,air conditioner
take my bag,take my bag,bag
taek my bag,take my bag,bag
take my abg,take my abg,bag
tak my bag,take my bag,bag
take a blank paper,take a blank paper,blank paper
take ablank paper,take blank paper,blank paper
takea blank paper,take blank paper,blank paper
atke a blank paper,take a blank paper,blank paper
take that book,take that book,book
take thatbook,take thatbook,book
take that boo,take that boot,book
tk that book,tk that book,book
take all the books,take all the books,books
take al the books,take dal the books,books
take all the books,take all the books,books
takeall the books,takeall the books,books
i want my boot,i want my boot,boot
i wan my boot,i want my boot,boot
i wnt my boot,i want my boot,boot
i want my bt,i want my bat,boot
take that bowl,take that bowl,bowl
atke that bowl,take that bowl,bowl
take thatbowl,take thatbowl,bowl
take that obwl,take that owl,bowl
take my cap,take my cap,cap
takemy cap,take cap,cap
take my acp,take my acp,cap
sit in chair,sit in chair,chair
st in chair,sit in chair,chair
sit in chr,sit in chair,chair
sit in chair,sit in chair,chair
i need a chalk,i need a chalk,chalk
i need a chalk,i need a chalk,chalk
i need achalk,i need chalk,chalk
i needa chalk,i need chalk,chalk
give me coloured paper,give me coloured paper,coloured paper
give m coloured paper,give m coloured paper,coloured paper
give me coloured pape,give me coloured paper,coloured paper
give me coloured ppr,give me coloured paper,coloured paper
i need computer,i need computer,computer
i need computer,i need computer,computer
i need cmptr,i need computer,computer
i nee computer,i need computer,computer
give me a crayon,give me a crayon,crayon
give me a crayon,give me a crayon,crayon
give me a crayo,give me a crayon,crayon
give me a cup,give me a cup,cup
give me a cu,give me a cut,cup
gv me a cup,gve me a cup,cup
give me a cp,give me a cup,cup
its a diamond,its a diamond,diamond
itƒ?? a diamond,its a diamond,diamond
its adiamond,its diamond,diamond
its a dmnd,its a dmnd,diamond
this is my favorite book,this is my favorite book,favorite book
this is my fvrt book,this is my fvrt book,favorite book
this ismy favorite book,this ismy favorite book,favorite book
this is my favorit book,this is my favorite book,favorite book
there is the mug,there is the mug,mug
there is the mu,there is the mug,mug
there is the mg,there is the mug,mug
ther is the mug,there is the mug,mug
give me pen,give me pen,pen
gv me pen,gve me pen,pen
give me pe,give me pie,pen
give mepen,give pen,pen
there is the picture book,there is the picture book,picture book
there is the picture bk,there is the picture bk,picture book
there s the picture book,there s the picture book,picture book
i want my scarf,i want my scarf,scarf
i wnt my scarf,i want my scarf,scarf
i want myscarf,i want scarf,scarf
i want my scarf,i want my scarf,scarf
where is the scissors,where is the scissors,scissors
where s the scissors,where s the scissors,scissors
where is the scssrs,where is the scissors,scissors
where is the scissors,where is the scissors,scissors
i want stapler,i want stapler,stapler
i wan stapler,i want stapler,stapler
 want stapler,want stapler,stapler
i wantstapler,i stapler,stapler
i want to buy some stationary,i want to buy some stationary,stationery
i want to buy some stationary,i want to buy some stationary,stationery
i watn to buy some stationary,i what to buy some stationary,stationery
what is the current month,what is the current month,current month
what is the current mont,what is the current month,current month
what i the current month,what i the current month,current month
what is the crrnt month,what is the current month,current month
what is the current season,what is the current season,current season
what is the currentseason,what is the current season,current season
whatis the current season,what the current season,current season
what is the current time,what is the current time,current time
what is th current time,what is the current time,current time
what is thecurrent time,what is current time,current time
what i the current time,what i the current time,current time
there is a divider,there is a divider,divider
there is a divdier,there is a divider,divider
ther is a divider,there is a divider,divider
its italian,its italian,italian
its tln,its tln,italian
itsitalian,italian,italian
ist italian,it italian,italian
there are some blocks,there are some blocks,blocks
thr are some blocks,there are some blocks,blocks
ther are some blocks,there are some blocks,blocks
draw a slanting line,draw a slanting line,slanting line
draw a slanting line,draw a slanting line,slanting line
drawa slanting line,draw slanting line,slanting line
draw aslanting line,draw slanting line,slanting line
i want to slide,i want to slide,slide
i want to slide,i want to slide,slide
i watn to slide,i what to slide,slide
is this the standing line,is this the standing line,standing line
is htis the standing line,is this the standing line,standing line
is thisthe standing line,is thisthe standing line,standing line
is this th standing line,is this the standing line,standing line
take me to canteen,take me to canteen,canteen
take me tocanteen,take me canteen,canteen
take me t canteen,take me t canteen,canteen
tkae me to canteen,take me to canteen,canteen
i want to go to church,i want to go to church,church
i want to go to churc,i want to go to church,church
i wan to go to church,i want to go to church,church
i want to g to church,i want to g to church,church
i want to go to clinic,i want to go to clinic,clinic
iwant to go to clinic,want to go to clinic,clinic
i wantto go to clinic,i want go to clinic,clinic
lets go to clothes shop,lets go to clothes shop,clothes shop
lets go to clothes shop,lets go to clothes shop,clothes shop
lets g to clothes shop,lets g to clothes shop,clothes shop
lets go to grocery shop,lets go to grocery shop,grocery shop
lets go to grocery sho,lets go to grocery show,grocery shop
lets go to groceryshop,lets go to grocery shop,grocery shop
letsgo to grocery shop,lets to grocery shop,grocery shop
take me to gymnastics,take me to gymnastics,gymnastics
take me to gymnastics,take me to gymnastics,gymnastics
taek me to gymnastics,take me to gymnastics,gymnastics
tkae me to gymnastics,take me to gymnastics,gymnastics
take me to hospital,take me to hospital,hospital
tak me to hospital,take me to hospital,hospital
takeme to hospital,take to hospital,hospital
tk me to hospital,tk me to hospital,hospital
its in kitchen,its in kitchen,kitchen
its in kitchen,its in kitchen,kitchen
its in kithcen,its in kitchen,kitchen
itsin kitchen,its kitchen,kitchen
its in our living room,its in our living room,living room
its in ou living room,its in you living room,living room
its in our livin room,its in our living room,living room
its in our living rm,its in our living rm,living room
lets go to the mall,lets go to the mall,mall
lets go to the mall,lets go to the mall,mall
lts go to the mall,lets go to the mall,mall
lets go t the mall,lets go t the mall,mall
go to the meet shop,go to the meet shop,meat shop
g to the meet shop,g to the meet shop,meat shop
go to the meetshop,go to the meat shop,meat shop
go to the meet shop,go to the meet shop,meat shop
go to medical shop,go to medical shop,medical shop-chemist's shop-pharmacy
g to medical shop,g to medical shop,medical shop-chemist's shop-pharmacy
go to medicalshop,go to medical,medical shop-chemist's shop-pharmacy
take me to museum,take me to museum,museum
take me to museu,take me to museum,museum
take me to museum,take me to museum,museum
this is my house,this is my house,my house
this i my house,this i my house,my house
this ismy house,this ismy house,my house
thsi is my house,this is my house,my house
take me to the park,take me to the park,park
take m to the park,take m to the park,park
take me to the park,take me to the park,park
it is the place of worship,it is the place of worship,places of worship
it is hte place of worship,it is white place of worship,places of worship
it is the place of worship,it is the place of worship,places of worship
take me to play room,take me to play room,play room
take me to ply room,take me to play room,play room
take me to play orom,take me to play room,play room
shall we go to playground,shall we go to playground,playground
shll we go to playground,shall we go to playground,playground
hsall we go to playground,small we go to playground,playground
shall we go t playground,shall we go t playground,playground
shall we go to an restaurant,shall we go to an restaurant,restaurant
shall we g to an restaurant,shall we g to an restaurant,restaurant
shall we go to a restaurant,shall we go to a restaurant,restaurant
shallwe go to an restaurant,shall go to an restaurant,restaurant
i want to see my  school,i want to see my school,school
i want to se my school,i want to use my school,school
i want to seemy school,i want to see school,school
i want to see my schl,i want to see my school,school
take me to balcony,take me to balcony,balcony
take me to blcny,take me to balcony,balcony
take me t balcony,take me t balcony,balcony
take me tobalcony,take me balcony,balcony
take me to the shop,take me to the shop,shop
take me to th shop,take me to the shop,shop
take me to the shp,take me to the shop,shop
take me to staffroom,take me to staffroom,staffroom
take me to stffrm,take me to staffroom,staffroom
takeme to staffroom,take to staffroom,staffroom
take m to staffroom,take m to staffroom,staffroom
can you repeat that question,can you repeat that question,questions
canyou repeat that question,canyou repeat that question,questions
can you repeat tht question,can you repeat that question,questions
can you repeat that questio,can you repeat that question,questions
its a circle,its a circle,circle
iƒ??ts a circle,its a circle,circle
itsƒ?? a circle,its a circle,circle
its  circle,its circle,circle
its a cube,its a cube,cube
its a cbue,its a cube,cube
its acube,its cube,cube
its a cueb,its a cube,cube
its in rectangle in shape,its in rectangle in shape,rectangle
itsin rectangle in shape,its rectangle in shape,rectangle
its in rctngl in shape,its in rectangle in shape,rectangle
its a square,its a square,square
its asquare,its square,square
its  square,its square,square
tis a square,this a square,square
i want to wear belt,i want to wear belt,belt
i want to wear blet,i want to wear lets,belt
i want to wr belt,i want to wr belt,belt
i wnat to wear belt,i what to wear belt,belt
i like bracelet,i like bracelet,bracelet
i ilke bracelet,i milk bracelet,bracelet
 like bracelet,like bracelet,bracelet
this is my chappals,this is my chappals,chappals
thisis my chappals,this my chappals,chappals
ths is my chappals,this is my chappals,chappals
thi is my chappals,this is my chappals,chappals
take my coat,take my coat,coat
take my ocat,take my cat,coat
take my coat,take my coat,coat
taek my coat,take my coat,coat
take my drawing book,take my drawing book,drawing book
take my drawin book,take my drawing book,drawing book
take my drawnig book,take my drawing book,drawing book
take my drwng book,take my drawing book,drawing book
where is my errings,where is my errings,earrings
where is my rrngs,where is my errings,earrings
where is my errings,where is my errings,earrings
where ismy errings,where ismy errings,earrings
there is the english book,there is the english book,english book
three is the english book,these is the english book,english book
tehre is the english book,there is the english book,english book
there is the english obok,there is the english book,english book
give me an eraser,give me an eraser,eraser
giveme an eraser,give an eraser,eraser
give m an eraser,give m an eraser,eraser
give me aneraser,give me eraser,eraser
these are my favourites,these are my favourites,favourites
these aremy favourites,these are favourites,favourites
these are myfavourites,these are favourites,favourites
these are my favouritse,these are my favourites,favourites
give me fork,give me fork,fork
gvie me fork,gve me fork,fork
give me for,give me for,fork
give m fork,give m fork,fork
my hat,my hat,hat
m hat,m hat,hat
my hta,my hta,hat
my ht,my hot,hat
there is the knife,there is the knife,knife
there is th knife,there is the knife,knife
there is the kinfe,there is the knife,knife
there is theknife,there is knife,knife
there is the lamp,there is the lamp,lamp
htere is the lamp,here is the lamp,lamp
there s the lamp,there s the lamp,lamp
there i the lamp,there i the lamp,lamp
there is the lock and key,there is the lock and key,lock and key
there is th lock and key,there is the lock and key,lock and key
ther is the lock and key,there is the lock and key,lock and key
there is the lock and ky,there is the lock and key,lock and key
get my necklace,get my necklace,necklace
get mynecklace,get necklace,necklace
ge my necklace,gve my necklace,necklace
get m necklace,get m necklace,necklace
give me paint,give me paint,paint
give me paint,give me paint,paint
gv me paint,gve me paint,paint
give me pnt,give me pants,paint
use paper clip,use paper clip,paper clip
s paper clip,s paper clip,paper clip
use pape clip,use paper clip,paper clip
use paepr clip,use paper clip,paper clip
where is the pencil lead,where is the pencil lead,pencil lead
hwere is the pencil lead,here is the pencil lead,pencil lead
where i the pencil lead,where i the pencil lead,pencil lead
whr is the pencil lead,where is the pencil lead,pencil lead
give me pencil,give me pencil,pencil
gv me pencil,gve me pencil,pencil
give m pencil,give m pencil,pencil
giv me pencil,give me pencil,pencil
give my pillows,give my pillows,pillows
gv my pillows,gve my pillows,pillows
give my pillows,give my pillows,pillows
give mypillows,give pillows,pillows
where is my plate,where is my plate,plate
where is my plate,where is my plate,plate
where is my plat,where is my plate,plate
where is the scale,where is the scale,scale
where is the scale,where is the scale,scale
where is the scl,where is the scale,scale
where is th scale,where is the scale,scale
it is my school notebook,it is my school notebook,school notebook
it is my school notebook,it is my school notebook,school notebook
it is my school noteboo,it is my school notebook,school notebook
where is the sellotape,where is the sellotape,sellotape
wehre is the sellotape,where is the sellotape,sellotape
where is the sellotape,where is the sellotape,sellotape
i want shampoo,i want shampoo,shampoo
i want shampoo,i want shampoo,shampoo
 want shampoo,want shampoo,shampoo
i want shampo,i want shampoo,shampoo
its my soap,its my soap,soap
its my soap,its my soap,soap
its my sopa,its my stop,soap
its my osap,its my soap,soap
i want a soft toy,i want a soft toy,soft toy
i wanta soft toy,i want soft toy,soft toy
i want a softtoy,i want a soft toy,soft toy
i want a soft ty,i want a soft toy,soft toy
give me a spoon,give me a spoon,spoon
give me a spn,give me a spoon,spoon
give m a spoon,give m a spoon,spoon
give me bear,give me bear,bear
give mebear,give bear,bear
giev me bear,give me bear,bear
i want doll,i want doll,doll
i want dol,i want doll,doll
i want doll,i want doll,doll
there is the bus,there is the bus,bus
there is the bsu,there is the bsu,bus
there is the bus,there is the bus,bus
ther is the bus,there is the bus,bus
its the school bus,its the school bus,school bus
tƒ??s the school bus,its the school bus,school bus
its the school bsu,its the school bsu,school bus
its the schoo bus,its the school bus,school bus
shall we go in ship,shall we go in ship,ship
shall wego in ship,shall wego in ship,ship
shall we go i ship,shall we go i ship,ship
shall we g in ship,shall we g in ship,ship
bake some vegitables,bake some vegitables,baked vegetables
bakesome vegitables,awesome vegitables,baked vegetables
bake somevegitables,bake vegitables,baked vegetables
bk some vegitables,bk some vegitables,baked vegetables
i want some steamed veggies,i want some steamed veggies,steamed veggies
i wantsome steamed veggies,i wantsome steamed veggies,steamed veggies
i want some stmd veggies,i want some stmd veggies,steamed veggies
i want some steamed veggies,i want some steamed veggies,steamed veggies
its cloudy,its cloudy,cloudy
tis cloudy,this cloudy,cloudy
its cldy,its cloudy,cloudy
itscloudy,cloudy,cloudy
its so foggy,its so foggy,foggy
ts so foggy,its so foggy,foggy
itsso foggy,its foggy,foggy
its snowy,its snowy,snowy
tis snowy,this snowy,snowy
its snwoy,its snowy,snowy
it snowy,it snowy,snowy
its spring time,its spring time,spring
its spring itme,its spring time,spring
itsspring time,spring time,spring
happy birthday,happy birthday,birthdays
happy bitrhday,happy birthday,birthdays
happybirthday,birthday,birthdays
hppy birthday,happy birthday,birthdays
happy birthday,happy birthday,brother's birthday
happy birthday,happy birthday,brother's birthday
happy brthdy,happy birthday,brother's birthday
happ birthday,happy birthday,brother's birthday
bye,bye,bye
by,bye,bye
bey,be,bye
happy christmas,happy christmas,christmas
ahppy christmas,happy christmas,christmas
happy chrstms,happy christmas,christmas
happychristmas,christmas,christmas
happy birthday,happy birthday,cousin's birthday
hapyp birthday,happy birthday,cousin's birthday
happybirthday,birthday,cousin's birthday
happy brthdy,happy birthday,cousin's birthday
have a good day,have a good day,day
hv a good day,hv a good day,day
hav a good day,have a good day,day
have agood day,have good day,day
happy diwali,happy diwali,diwali
happy dwl,happy dwl,diwali
happydiwali,happydiwali,diwali
happy dwiali,happy diwali,diwali
happy dussehra,happy dussehra,dussehra
ahppy dussehra,happy dussehra,dussehra
hppy dussehra,happy dussehra,dussehra
happydussehra,dussehra,dussehra
happy easter,happy easter,easter
happy easte,happy easter,easter
happ easter,happy easter,easter
happyeaster,happyeaster,easter
happy eid,happy eid,eid
happy ied,happy tired,eid
happ eid,happy eid,eid
happy edi,happy edi,eid
good evening,good evening,evening
gd evening,gd evening,evening
goodevening,good evening,evening
happy birthday,happy birthday,father's birthday
happybirthday,birthday,father's birthday
hppy birthday,happy birthday,father's birthday
happy birthday,happy birthday,friend's birthday
happy birtdhay,happy birthday,friend's birthday
happy birthday,happy birthday,friend's birthday
happy birthady,happy birthday,friend's birthday
happy ganesh chaturthi,happy ganesh chaturthi,ganesh chaturthi
happy gnsh chaturthi,happy ganesh chaturthi,ganesh chaturthi
happy ganesh chtrth,happy ganesh chaturthi,ganesh chaturthi
hppy ganesh chaturthi,happy ganesh chaturthi,ganesh chaturthi
good afternoon,good afternoon,good afternoon
good ftrnn,good ftrnn,good afternoon
gd afternoon,gd afternoon,good afternoon
good afetrnoon,good afternoon,good afternoon
good evening,good evening,good evening
goo evening,good evening,good evening
good evenin,good evening,good evening
goodevening,good evening,good evening
good friday,good friday,good friday
good frdy,good friday,good friday
good frdiay,good friday,good friday
good morning,good morning,good morning
good mrnng,good morning,good morning
good night,good night,good night
goodnight,good night,good night
goo night,good night,good night
godo night,good night,good night
hi grandpa,hi grandpa,grandfather
h grandpa,h grandpa,grandfather
higrandpa,grandpa,grandfather
hi grndp,hi grandpa,grandfather
happy birthday,happy birthday,grandma's birthday
happy brthdy,happy birthday,grandma's birthday
ahppy birthday,happy birthday,grandma's birthday
hello grandma,hello grandma,grandmother
hellograndma,hellograndma,grandmother
hello grandm,hello grandma,grandmother
happy birthday,happy birthday,grandpa's birthday
happy birthda,happy birthday,grandpa's birthday
happy brthdy,happy birthday,grandpa's birthday
happ birthday,happy birthday,grandpa's birthday
great job,great job,great job!!!
grea job,great job,great job!!!
great jb,great job,great job!!!
greatjob,great job!!!,great job!!!
welcome,welcome,greetings
wlcm,wlcm,greetings
welocme,welcome,greetings
happy halloween,happy halloween,halloween
happyhalloween,halloween,halloween
happy halloween,happy halloween,halloween
happy hallowee,happy halloween,halloween
hello,hello,hello
helol,hello,hello
hlelo,hello,hello
hello,hello,hello
hi-five,hi-five,hi-five
hi-fiev,hi-five,hi-five
hi-fiv,hi-five,hi-five
h-fv,h-fv,hi-five
hi,hi,hi
h,h,hi
happy holi,happy holi,holi
hpapy holi,happy holi,holi
happy hl,happy hl,holi
happ holi,happy holi,holi
how are you,how are you,how are you
how areyou,how areyou,how are you
how are oyu,how are oyu,how are you
howare you,howare you,how are you
how do you do,how do you do,how do you do
how do you d,how do you d,how do you do
how do oyu do,how do oyu do,how do you do
hwo do you do,hwo do you do,how do you do
how was your day,how was your day,how was your day
how was yourday,how was yourday,how was your day
how wasyour day,how wasyour day,how was your day
happy independence day,happy independence day,independence day
happy independenc day,happy independence day,independence day
happy independenceday,happy independence day,independence day
happy independence ady,happy independence ready,independence day
i'm irritated,i'm irritated,irritated
i' irritated,i'm irritated,irritated
'm irritated,i'm irritated,irritated
happy labour day,happy labour day,labour day
happy labourday,happy labour day,labour day
happy labour day,happy labour day,labour day
happylabour day,happylabour day,labour day
happy birthday mom,happy birthday mom,mom's birthday
happy birthdaymom,happy birthday,mom's birthday
hppy birthday mom,happy birthday mom,mom's birthday
happy birthda mom,happy birthday mom,mom's birthday
good morning,good morning,morning
ogod morning,good morning,morning
goodmorning,good morning,morning
hi mom,hi mom,mother
hi omm,hi omm,mother
hi mo,hi mom,mother
happy new year,happy new year,new year
happy newyear,happy new year,new year
hppy new year,happy new year,new year
happy ne year,happy new year,new year
nice to meet you,nice to meet you,nice to meet you
nice to meetyou,nice to meetyou,nice to meet you
nice to meet oyu,nice to meet oyu,nice to meet you
nice to mee you,nice to meet you,nice to meet you
good night,good night,night
good night,good night,night
godo night,good night,night
good nigh,good night,night
i want to wear watch,i want to wear watch,watch
i wnt to wear watch,i want to wear watch,watch
i want to wea watch,i want to wear watch,watch
i need cable,i need cable,cable
i needcable,i needcable,cable
i need cable,i need cable,cable
the color is white,the color is white,white
the color is whit,the color is white,white
thecolor is white,color is white,white
the color is wht,the color is what,white
get the key,get the key,key
gt the key,get the key,key
get the kye,get the kye,key
"""please give me a dosa.""","""please give me a dosa.""",dosa
"""please giv me a dosa.""","""please give me a dosa.""",dosa
"""please give me  dosa.""","""please give me dosa.""",dosa
"""please give me a dosa.""","""please give me a dosa.""",dosa
"""please give me a dosa.""","""please give me a dosa.""",kabab
"""please give m a dosa.""","""please give m a dosa.""",kabab
"""pleas give me a dosa.""","""please give me a dosa.""",kabab
"""please give me a ds.""","""please give me a dosa.""",kabab
"""give me water.""","""give me water.""",water
"""gvie me water.""","""give me water.""",water
"""give mewater.""","""give water.""",water
"""give me water.","""give me water.""",water
